"","precio","superficie","distrito","fecha","ciudad","tipo"
"159",60000,70,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"160",320000,547,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"161",145000,90,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"162",1250000,500,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"163",675000,785,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"164",1750000,450,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"165",158000,51,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"166",50000,25,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"167",240000,78,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"168",450000,80,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"169",840000,455,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"170",90000,19,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"171",257000,143,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"172",724500,342,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"173",724500,342,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"174",490000,278,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"175",276600,110,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"176",5e+05,150,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"177",185000,115,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"178",6e+05,98,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"179",150000,160,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"180",1800000,1516,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"181",7e+05,1150,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"182",156000,50,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
"183",127000,60,"arganzuela","Thu Jan 05 19:20:24 2017","madrid","venta"
